plant,priority,evidence,plant_part,chemical_lead,fungal_result,dose_and_assay,behavioral_relation,ant_and_cultivar,source_ids,source_locator,limitations,validation_status,candidate_id,original_urls,local_originals
Picramnia teapensis,2 — Direct assay,Isolated compound against cultivar,Bark,Umbelliferone,60% growth inhibition,65 µg/mL; 30 days,Avoidance not established,Atta sexdens; L. gongylophorus,godoy2005,PDF pp.2–3,"Partial inhibition, not demonstrated killing.",Original full text: relevant methods/results checked,P011,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf
Raulinoa echinata,1 — First validation,Isolated compounds against cultivar,Stems and leaves,Kokusaginine; skimmianine; maculine,Kokusaginine 100%; skimmianine 80%; maculine 50%,100 µg/mL; Table 1. Strongly reduced at 50 µg/mL,Avoidance not established,Atta sexdens; L. gongylophorus,biavatti2002,PDF p.3 Table 1,Table says Kokusagine; prose identifies kokusaginine. Cultivar/compound response differs from Helietta assay.,Original full text: relevant methods/results checked,P012,https://doi.org/10.1590/S0103-50532002000100010,sources/raulinoa2002.pdf
Helietta puberula,2 — Direct assay,Isolated compounds against cultivar,Leaves/branches,Maculine; dictamnine; kokusaginine; anthranilic acid,Maculine/dictamnine 100%; other two 80%,Table 1: 100 µg/mL compounds; methods: 50 µg/mL (conflict),Ant toxicity assayed; natural preference not established,Atta sexdens; L. gongylophorus,almeida2007,"PDF pp.3–4, Table 1",Resolve twofold dose conflict before potency ranking. Maculine fungal-only in this ant assay.,Original full text: relevant methods/results checked,P013,https://doi.org/10.14295/BA.V2.0.53,sources/helietta2007.pdf
Simarouba versicolor,2 — Direct assay,Isolated compounds against cultivar,Stem and branches,"5-Methoxycanthin-6-one; 4,5-dimethoxycanthin-6-one",Both alkaloids 100% inhibition,Table 2: 100 µg/mL; methods: 50 µg/mL (conflict),"4,5-dimethoxy compound lacks corresponding ant toxicity",Atta sexdens; L. gongylophorus,penaflor2009,"PDF pp.3–4, Tables 1–2",Do not substitute inactive/weak triterpenoids for active alkaloids. Resolve dose conflict.,Original full text: relevant methods/results checked,P014,https://doi.org/10.14295/BA.V4.0.24,sources/simarouba2009.pdf
Pilocarpus grandiflorus,2 — Direct assay,Isolated compounds against cultivar,Stems/branches,Vanillic acid; syringaldehyde; platydesmine; weaker dictamine,Paper Table 3: vanillic acid/syringaldehyde/platydesmine80% inhibition; dictamine 40%; several compound nulls,50 µg/mL for three strongest compounds; dictamine 40 µg/mL. DCM stem extract100% at 1000 µg/mL; protocol cited to 1990 paper,Avoidance not established,Atta sexdens; L. gongylophorus,godoy2003;souza2005,Souza2005 PDF 3 Table 3; PDF 4 methods; Godoy thesis PDF 71 Table 15,New imidazole compound 1 not listed in activity table. Preserve nulls; source refers methods rather than restating replicate/time details. Thesis/article may overlap.,Original full text: relevant methods/results checked,P015,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content ; https://doi.org/10.1515/znb-2005-0715,sources/godoy_thesis.pdf ; sources/souza2005.pdf
Sesamum indicum,2 — Direct assay,Extract inhibition; useful accepted-plant comparison,Leaves of different ages; green/ripe fruits and seeds separately,Unresolved solvent-extractable compounds; later fatty-acid-fraction literature. Leaf effect not established as sesamin,1990: chloroform/methanol leaf extracts leave 40% growth at 60 mg dry-leaf-equivalent/mL; low doses null. Water extract stimulates growth,"1990:7.5/15/30/60 mg DRY-PLANT equivalent/mL, not extract mass;30–35-day ordinal growth. 1998 fractions use separate mass basis",1990 authors report leaves avidly collected despite fungal inhibition,Atta sexdens; L. gongylophorus,sesame1998;sesame1990,1990 PDF 2 Tables 1–2 and PDF 3 discussion;1998 abstract,Do not equate dry-plant-equivalent with recovered extract or pure-compound dose. Sesamin not detected in leaves by stated methods; not proof of universal absence.1998 full methods remain unchecked.,1990 original full text checked;1998 abstract checked,P016,https://doi.org/10.1590/S0301-80591998000300010 ; https://doi.org/10.1017/S0007485300050550,sources/sesame1990.pdf
Spiranthera odoratissima,2 — Direct assay,Extract and isolated compounds against cultivar,Branches; leaf extracts much less active,Dictamnine; gamma-fagarine; skimmianine,"Branch extracts 100%; leaf extracts 20%. Dictamnine/gamma-fagarine 100%, skimmianine 80%","Extracts 1000 µg/mL; isolated alkaloids 50 µg/mL; 30-day visual mycelial growth, 8–10 tubes plus controls",Natural avoidance not established; dictamnine lacked attraction in a separate assay,Atta sexdens rubropilosa; L. gongylophorus,terezan2007;terezan2010,"Thesis PDF 49 methods; PDF 137–138, section 4.6.2 and Graph 4.4",Single-dose inhibition is not MIC or proof of killing. The separate flavone transformation experiments had major solvent effects; do not transfer their interpretation into the extract assay.,Original full text: relevant methods/results checked,P017,https://repositorio.ufscar.br/server/api/core/bitstreams/4deaae0b-4c69-4081-ace3-35baa2d01880/content ; https://doi.org/10.1590/S0103-50532010000500016,sources/spiranthera_thesis.pdf
Brachiaria brizantha,2 — Direct assay,Field resistance + cultivar extract assay,Leaves; cultivar Marandú,Inhibitory plant factor(s) unresolved,Strong inhibition by resistant-cultivar homogenates; Marandú/Basilisk almost no outgrowth in Fig 5; Pasto Humidicola inhibits both host-derived isolates,"Clarified500 g leaf+500 mL water stock used in oatmeal agar;100%,50%,1% homogenate dilutions in two-cultivar trial;3 plates/condition",Resistant in seedling damage/colonization tests,Acromyrmex landolti; Atta laevigata; A. capiguara,lapointe1996;castellani2009,Lapointe PDF 3 methods; PDF 5–7 Figs 3–5,Keep cultivar and trial separate. Dilution is not compound/extract mass concentration. Five A.landolti/one A.laevigata donor colonies used to establish isolation; figure comparisons do not equal six independent strains. Unknown chemistry.,Original full text: relevant methods/results checked,P018,https://doi.org/10.1093/JEE/89.3.757 ; https://repositorio.unesp.br/entities/publication/387fbb1f-2733-4333-97cc-11e7605012f9,sources/lapointe1996.pdf
Brachiaria decumbens,2 — Direct assay,Field resistance + cultivar extract assay,Leaves; cultivar Basilisk,Inhibitory plant factor(s) unresolved,Strong inhibition by resistant-cultivar homogenates; Marandú/Basilisk almost no outgrowth in Fig 5; Pasto Humidicola inhibits both host-derived isolates,"Clarified500 g leaf+500 mL water stock used in oatmeal agar;100%,50%,1% homogenate dilutions in two-cultivar trial;3 plates/condition",Resistant in seedling damage/colonization tests,Acromyrmex landolti; Atta laevigata,lapointe1996,Lapointe PDF 3 methods; PDF 5–7 Figs 3–5,Keep cultivar and trial separate. Dilution is not compound/extract mass concentration. Five A.landolti/one A.laevigata donor colonies used to establish isolation; figure comparisons do not equal six independent strains. Unknown chemistry.,Original full text: relevant methods/results checked,P019,https://doi.org/10.1093/JEE/89.3.757,sources/lapointe1996.pdf
Brachiaria humidicola,2 — Direct assay,Field resistance + cultivar extract assay,Leaves; cultivar Pasto Humidicola,Inhibitory plant factor(s) unresolved,Strong inhibition by resistant-cultivar homogenates; Marandú/Basilisk almost no outgrowth in Fig 5; Pasto Humidicola inhibits both host-derived isolates,"Clarified500 g leaf+500 mL water stock used in oatmeal agar;100%,50%,1% homogenate dilutions in two-cultivar trial;3 plates/condition",Resistant in seedling damage/colonization tests,Acromyrmex landolti; Atta laevigata,lapointe1996,Lapointe PDF 3 methods; PDF 5–7 Figs 3–5,Keep cultivar and trial separate. Dilution is not compound/extract mass concentration. Five A.landolti/one A.laevigata donor colonies used to establish isolation; figure comparisons do not equal six independent strains. Unknown chemistry.,Original full text: relevant methods/results checked,P020,https://doi.org/10.1093/JEE/89.3.757,sources/lapointe1996.pdf
Carica papaya,2 — Direct assay,Bioassay-guided compounds + formulated nest trial,Young and older leaves; two ethanol extracts,Squalene and carpaine; commercial quercetin comparator inactive,"Extracts100% inhibition at 2.5 mg/mL; squalene 25.67%, carpaine 27.67%,1:1 mixture41.86% at labelled0.5 mg/mL",Five-week acid-PDA growth assay; five replicates/treatment; cellulose and PDA controls,Selection/avoidance not established,Acromyrmex octospinosus; L. gongylophorus,lobo2020papaya,PDF 2–5 methods/results; Fig 3 PDF 8; field experiments reported separately,Combination increase is not proof of synergy; mixture dose total/per-component unclear. Commercial quercetin is not the isolated glycosides. Field formulations cannot establish pure-compound garden efficacy.,Original full text: relevant methods/results checked,P021,https://doi.org/10.1080/09670874.2019.1610812,sources/lobo2020papaya.pdf
Senna alata,2 — Direct assay,Ethnopharmacological preparation against cultivar,Leaves,Active compound(s) unresolved,"Original Table 3 fitted IC50 251.51, IC99 350.78 µg/mL; MTT and growth assays reported",Freeze-dried plant preparations500/1000/2000 µg/mL;30-day solid area/liquid biomass; six replications. MTT color read separately,Not selected through ant avoidance,Acromyrmex octospinosus; L. gongylophorus,boulogne2012;boulogne2011;araujo2022,"Boulogne PDF 2–5, Tables 1–3;95% CIs transcribed",Some IC estimates outside tested range. Table 3 does not separate solid/liquid fitting; liquid inoculation can alter dose. MTT supports metabolic interpretation rather than confirmed killing. Discussion compounds not isolated here.,Original full text: relevant methods/results checked,P022,https://doi.org/10.1603/EC11313 ; https://theses.fr/2011AGUY0469 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/boulogne2012.pdf ; sources/boulogne_thesis.pdf ; sources/araujo2022.pdf
Allium sativum,2 — Direct assay,Ethnopharmacological preparation against cultivar,Cloves (French gousse; English abstract says seed pods),Active compound(s) unresolved,"Original Table 3 fitted IC50 358.36, IC99 1344.02 µg/mL; MTT and growth assays reported",Freeze-dried plant preparations500/1000/2000 µg/mL;30-day solid area/liquid biomass; six replications. MTT color read separately,Not selected through ant avoidance,Acromyrmex octospinosus; L. gongylophorus,boulogne2012;boulogne2011;araujo2022,"Boulogne PDF 2–5, Tables 1–3;95% CIs transcribed",Some IC estimates outside tested range. Table 3 does not separate solid/liquid fitting; liquid inoculation can alter dose. MTT supports metabolic interpretation rather than confirmed killing. Discussion compounds not isolated here.,Original full text: relevant methods/results checked,P023,https://doi.org/10.1603/EC11313 ; https://theses.fr/2011AGUY0469 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/boulogne2012.pdf ; sources/boulogne_thesis.pdf ; sources/araujo2022.pdf
Manihot esculenta,2 — Direct assay,Ethnopharmacological preparation against cultivar,Leaves,Active compound(s) unresolved,"Original Table 3 fitted IC50 553.32, IC99 1352.21 µg/mL; MTT and growth assays reported",Freeze-dried plant preparations500/1000/2000 µg/mL;30-day solid area/liquid biomass; six replications. MTT color read separately,Not selected through ant avoidance,Acromyrmex octospinosus; L. gongylophorus,boulogne2012;boulogne2011;araujo2022,"Boulogne PDF 2–5, Tables 1–3;95% CIs transcribed",Some IC estimates outside tested range. Table 3 does not separate solid/liquid fitting; liquid inoculation can alter dose. MTT supports metabolic interpretation rather than confirmed killing. Discussion compounds not isolated here.,Original full text: relevant methods/results checked,P024,https://doi.org/10.1603/EC11313 ; https://theses.fr/2011AGUY0469 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/boulogne2012.pdf ; sources/boulogne_thesis.pdf ; sources/araujo2022.pdf
Allium cepa,2 — Direct assay,Ethnopharmacological preparation against cultivar,Bulbs,Active compound(s) unresolved,"Original Table 3 fitted IC50 1241.55, IC99 4356.06 µg/mL; MTT and growth assays reported",Freeze-dried plant preparations500/1000/2000 µg/mL;30-day solid area/liquid biomass; six replications. MTT color read separately,Not selected through ant avoidance,Acromyrmex octospinosus; L. gongylophorus,boulogne2012;boulogne2011;araujo2022,"Boulogne PDF 2–5, Tables 1–3;95% CIs transcribed",Some IC estimates outside tested range. Table 3 does not separate solid/liquid fitting; liquid inoculation can alter dose. MTT supports metabolic interpretation rather than confirmed killing. Discussion compounds not isolated here.,Original full text: relevant methods/results checked,P025,https://doi.org/10.1603/EC11313 ; https://theses.fr/2011AGUY0469 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/boulogne2012.pdf ; sources/boulogne_thesis.pdf ; sources/araujo2022.pdf
Solanum lycopersicum,2 — Direct assay,Ethnopharmacological preparation against cultivar,Green fruit; original Lycopersicon esculentum,Active compound(s) unresolved,"Original Table 3 fitted IC50 2262.29, IC99 3547.4 µg/mL; MTT and growth assays reported",Freeze-dried plant preparations500/1000/2000 µg/mL;30-day solid area/liquid biomass; six replications. MTT color read separately,Not selected through ant avoidance,Acromyrmex octospinosus; L. gongylophorus,boulogne2012;boulogne2011;araujo2022,"Boulogne PDF 2–5, Tables 1–3;95% CIs transcribed",Some IC estimates outside tested range. Table 3 does not separate solid/liquid fitting; liquid inoculation can alter dose. MTT supports metabolic interpretation rather than confirmed killing. Discussion compounds not isolated here.,Original full text: relevant methods/results checked,P026,https://doi.org/10.1603/EC11313 ; https://theses.fr/2011AGUY0469 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/boulogne2012.pdf ; sources/boulogne_thesis.pdf ; sources/araujo2022.pdf
Ageratum conyzoides,2 — Direct assay,Crude extract against cultivar,Leaves; hexane extract,Active compound not isolated in this assay,81/93/100% biomass reduction in original thesis; coriander first two reductions not significant,"Table labels 25/50/100 mg/mL; methods describe stock added 1:10 to medium, implying nominal2.5/5/10 mg/mL final.30-day dry biomass",No avoidance assay in this experiment,L. gongylophorus; donor colony details pending,morais2015;morais2012thesis,2012 thesis PDF 44–48 / printed 31–35; same percentages in 2015 article abstract,"Unresolved stock/final dose basis: do not pool potency yet.10 plates/treatment with 3 discs each, not30 independent plates. Solvent control reductions7/13/0% recorded; denominator needs clarification. No causal pure compound established.",Related original thesis fungal chapter checked;2015 article full text pending,P027,https://doi.org/10.1016/j.indcrop.2014.10.054 ; https://locus.ufv.br/server/api/core/bitstreams/da53d5c4-077b-4210-8036-f6bda05b963c/content,sources/morais2012thesis.pdf
Coriandrum sativum,2 — Direct assay,Crude extract against cultivar,Leaves; hexane extract,Active compound not isolated in this assay,23/27/100% biomass reduction in original thesis; coriander first two reductions not significant,"Table labels 25/50/100 mg/mL; methods describe stock added 1:10 to medium, implying nominal2.5/5/10 mg/mL final.30-day dry biomass",No avoidance assay in this experiment,L. gongylophorus; donor colony details pending,morais2015;morais2012thesis,2012 thesis PDF 44–48 / printed 31–35; same percentages in 2015 article abstract,"Unresolved stock/final dose basis: do not pool potency yet.10 plates/treatment with 3 discs each, not30 independent plates. Solvent control reductions7/13/0% recorded; denominator needs clarification. No causal pure compound established.",Related original thesis fungal chapter checked;2015 article full text pending,P028,https://doi.org/10.1016/j.indcrop.2014.10.054 ; https://locus.ufv.br/server/api/core/bitstreams/da53d5c4-077b-4210-8036-f6bda05b963c/content,sources/morais2012thesis.pdf
Mentha piperita,2 — Direct assay,Crude extract against cultivar,Leaves; hexane extract,Active compound not isolated in this assay,96/99/100% biomass reduction in original thesis; coriander first two reductions not significant,"Table labels 25/50/100 mg/mL; methods describe stock added 1:10 to medium, implying nominal2.5/5/10 mg/mL final.30-day dry biomass",No avoidance assay in this experiment,L. gongylophorus; donor colony details pending,morais2015;morais2012thesis,2012 thesis PDF 44–48 / printed 31–35; same percentages in 2015 article abstract,"Unresolved stock/final dose basis: do not pool potency yet.10 plates/treatment with 3 discs each, not30 independent plates. Solvent control reductions7/13/0% recorded; denominator needs clarification. No causal pure compound established.",Related original thesis fungal chapter checked;2015 article full text pending,P029,https://doi.org/10.1016/j.indcrop.2014.10.054 ; https://locus.ufv.br/server/api/core/bitstreams/da53d5c4-077b-4210-8036-f6bda05b963c/content,sources/morais2012thesis.pdf
Capsicum baccatum,2 — Direct assay,Leaf extract against cultivar,Leaves; ethanolic extract,Compound identity unresolved,Both active; C. frutescens more antifungal at higher concentrations,0.10/0.25/0.50% w/v treatments (1/2.5/5 mg/mL),Ant toxicity tested; no natural avoidance established,Atta cephalotes; L. gongylophorus,lobo2016,Original journal abstract; PDF pp.137–145,"Leaf extraction, not pepper-fruit capsaicin proof.",Original abstract checked; full methods not checked,P030,https://revistacolombianaentomologia.univalle.edu.co/index.php/SOCOLEN/article/view/6684,
Capsicum frutescens,2 — Direct assay,Leaf extract against cultivar,Leaves; ethanolic extract,Compound identity unresolved,Both active; C. frutescens more antifungal at higher concentrations,0.10/0.25/0.50% w/v treatments (1/2.5/5 mg/mL),Ant toxicity tested; no natural avoidance established,Atta cephalotes; L. gongylophorus,lobo2016,Original journal abstract; PDF pp.137–145,"Leaf extraction, not pepper-fruit capsaicin proof.",Original abstract checked; full methods not checked,P031,https://revistacolombianaentomologia.univalle.edu.co/index.php/SOCOLEN/article/view/6684,
Myrcia lundiana,2 — Direct assay,Essential oil against cultivar,Leaves; citral/isopulegol chemotypes,Citral and isopulegol; leaf oils MLUN23/MLUN19 respectively,Citral IC50 31.7 µL/L air and 289.9 µL/L medium. Isopulegol 150.1/696.8. Oil chemotypes also inhibitory,"Fumigation oils IC50:145.1 (isopulegol type),104.8 (citral type) µL/L air; contact238.1/217.9 µL/L medium.7-day growth;4 replicates",Natural avoidance not established,Acromyrmex balzani; L. gongylophorus,melo2020;araujo2022,PDF 4 methods; Fig 2 PDF 8; recovery assay Fig 3 PDF 9,Air and medium concentrations are different exposure bases. At123.21 µL/L air citral prevented regrowth after7-day transfer. Ant mixture synergy is separate. Pure reagents purchased; structures/isomer composition need curation.,Original full text: relevant methods/results checked,P032,https://doi.org/10.1007/s11356-020-08170-z ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/melo2020.pdf ; sources/araujo2022.pdf
Parapolystichum effusum,2 — Direct assay,Seasonal crude-extract assay,Fronds; dry/rainy season,TLC markers detected; active molecule not established,100% inhibition at high-dose dry-period treatment,5 mg/mL; all extracts inactive at 100 µg/mL,No linked avoidance assay in 2024 experiment,L. gongylophorus,ferns2024,Results; Fig.1; PDF available,Chemical-marker detection is not isolated-compound activity; retain low-dose null results.,Original full text: relevant methods/results checked,P033,https://doi.org/10.1590/2175-7860202475023,sources/ferns2024.pdf
Niphidium crassifolium,3 — Tentative,Seasonal crude-extract assay,Fronds; dry/rainy season,TLC markers detected; active molecule not established,Approximately 40%; not clearly different from control inhibition at high-dose dry-period treatment,5 mg/mL; all extracts inactive at 100 µg/mL,No linked avoidance assay in 2024 experiment,L. gongylophorus,ferns2024,Results; Fig.1; PDF available,Chemical-marker detection is not isolated-compound activity; retain low-dose null results.,Original full text: relevant methods/results checked,P034,https://doi.org/10.1590/2175-7860202475023,sources/ferns2024.pdf
Macrothelypteris torresiana,4 — Negative/control,Seasonal crude-extract assay,Fronds; dry/rainy season,TLC markers detected; active molecule not established,Less than 20%; similar to control inhibition at high-dose dry-period treatment,5 mg/mL; all extracts inactive at 100 µg/mL,No linked avoidance assay in 2024 experiment,L. gongylophorus,ferns2024,Results; Fig.1; PDF available,Chemical-marker detection is not isolated-compound activity; retain low-dose null results.,Original full text: relevant methods/results checked,P035,https://doi.org/10.1590/2175-7860202475023,sources/ferns2024.pdf
Dicksonia sellowiana,4 — Negative/control,Seasonal crude-extract assay,Fronds; dry/rainy season,TLC markers detected; active molecule not established,Less than 20%; similar to control inhibition at high-dose dry-period treatment,5 mg/mL; all extracts inactive at 100 µg/mL,No linked avoidance assay in 2024 experiment,L. gongylophorus,ferns2024,Results; Fig.1; PDF available,Chemical-marker detection is not isolated-compound activity; retain low-dose null results.,Original full text: relevant methods/results checked,P036,https://doi.org/10.1590/2175-7860202475023,sources/ferns2024.pdf
Platanus mexicana,3 — Tentative,Paired choice + extract assay,Leaves; methanolic extract,Phenolics/flavonoids measured; no causal molecule isolated,35-day colony diameter 22 ± 2 mm versus PDA 28 ± 2 mm,2 mg/mL,Less selected than Palicourea padifolia,Atta mexicana; L. gongylophorus,infante2026,2026 PDF results and Fig.6,"Modest inhibition, physical defenses coexist; publication-date/P-value inconsistencies require checking.",Original full text: relevant methods/results checked,P037,https://doi.org/10.17129/botsci.3671,sources/infante2026.pdf
Eriobotrya japonica,3 — Tentative,Paired choice + extract assay,Leaves; methanolic extract,Phenolics/flavonoids measured; no causal molecule isolated,35-day colony diameter 20.66 ± 2 mm versus PDA 28 ± 2 mm,2 mg/mL,Less selected than Palicourea padifolia,Atta mexicana; L. gongylophorus,infante2026;eafit_report,2026 PDF results and Fig.6,"Modest inhibition, physical defenses coexist; publication-date/P-value inconsistencies require checking.",Original full text: relevant methods/results checked,P038,https://doi.org/10.17129/botsci.3671 ; https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/infante2026.pdf ; sources/eafit_report.pdf
