compound_id,preferred_name,source_names,material_scope,chemical_family,identity_status,identity_note,pubchem_query,pubchem_candidate_cids,pubchem_query_url,pubchem_candidate_url,exact_pubchem_cid,exact_inchikey,exact_smiles,candidate_smiles,candidate_connectivity_smiles,candidate_inchikey,candidate_molecular_formula,candidate_molecular_weight,candidate_xlogp,candidate_tpsa,candidate_hbond_donors,candidate_hbond_acceptors,record_count,source_count,source_ids,source_plants,source_organs,record_ids,source_locators
C012,Epigalgravin,"[""Epigalgravin""]",natural_product_compound_concept,Lignan,database_unresolved,Name query did not resolve; preserve source identity without guessing an analogue.,Epigalgravin,[],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Epigalgravin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sp.""]","[""Leaves""]","[""F020""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C013,Lignan 8,"[""Lignan 8""]",natural_product_compound_concept,Lignan,source_code_unresolved,Identity is source-local Figure 1 code; manual structure transcription and independent check required.,,[],,,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sp.""]","[""Leaves""]","[""F021""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C015,Squalene,"[""Squalene""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Squalene,[638072],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Squalene/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/638072,,,,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C30H50,410.7,11.6,0,0,0,1,1,"[""lobo2020papaya""]","[""Carica papaya (quercetin reagent not isolated from this sample)""]","[""Leaves; commercial quercetin comparator where indicated""]","[""F073""]","[{""source_id"": ""lobo2020papaya"", ""locator"": ""PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3"", ""url"": ""https://doi.org/10.1080/09670874.2019.1610812"", ""pdf"": ""../sources/lobo2020papaya.pdf""}]"
C016,Carpaine,"[""Carpaine""]",natural_product_compound_concept,Macrocyclic alkaloid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Carpaine,[442630],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Carpaine/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/442630,,,,C[C@H]1[C@@H]2CC[C@H](N1)CCCCCCCC(=O)O[C@H]3CC[C@@H](CCCCCCCC(=O)O2)N[C@H]3C,CC1C2CCC(N1)CCCCCCCC(=O)OC3CCC(CCCCCCCC(=O)O2)NC3C,AMSCMASJCYVAIF-QCVMBYIASA-N,C28H50N2O4,478.7,6.3,76.7,2,6,1,1,"[""lobo2020papaya""]","[""Carica papaya (quercetin reagent not isolated from this sample)""]","[""Leaves; commercial quercetin comparator where indicated""]","[""F074""]","[{""source_id"": ""lobo2020papaya"", ""locator"": ""PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3"", ""url"": ""https://doi.org/10.1080/09670874.2019.1610812"", ""pdf"": ""../sources/lobo2020papaya.pdf""}]"
C018,Germanicol,"[""Germanicol""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Germanicol,[122857],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Germanicol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/122857,,,,C[C@@]12CC[C@@]3([C@@H](C1=CC(CC2)(C)C)CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C,CC1(CCC2(CCC3(C(C2=C1)CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C)C,QMUXVPRGNJLGRT-PNTWTTAKSA-N,C30H50O,426.7,9.4,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F078""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C019,β-Amyrin,"[""β-Amyrin""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",beta-amyrin,[73145],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-amyrin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/73145,,,,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,JFSHUTJDVKUMTJ-QHPUVITPSA-N,C30H50O,426.7,9.2,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F079""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C020,β-Sitosterol,"[""β-Sitosterol""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",beta-sitosterol,[222284],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-sitosterol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/222284,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,C29H50O,414.7,9.3,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F080""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C021,Stigmast-4-en-3-one,"[""Stigmast-4-en-3-one""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Stigmast-4-en-3-one,[5484202],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Stigmast-4-en-3-one/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5484202,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,RUVUHIUYGJBLGI-XJZKHKOHSA-N,C29H48O,412.7,9.3,17.1,0,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F081""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C022,3β-Hydroxystigmast-5-en-7-one,"[""3β-Hydroxystigmast-5-en-7-one""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",7-ketositosterol,[160608],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7-ketositosterol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/160608,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2C(=O)C=C4C3(CCC(C4)O)C)C)C(C)C,ICFXJOAKQGDRCT-ZIHMWMKCSA-N,C29H48O2,428.7,8.3,37.3,1,2,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F082""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C023,Syringaresinol,"[""Syringaresinol""]",natural_product_compound_concept,Lignan,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Syringaresinol,[100067],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Syringaresinol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/100067,,,,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,KOWMJRJXZMEZLD-UHFFFAOYSA-N,C22H26O8,418.4,2.2,95.8,2,8,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F083""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C028,Platydesmine,"[""Platydesmine""]",natural_product_compound_concept,Quinoline alkaloid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Platydesmine,[6451457],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Platydesmine/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/6451457,,,,CC(C)([C@H]1CC2=C(C3=CC=CC=C3N=C2O1)OC)O,CC(C)(C1CC2=C(C3=CC=CC=C3N=C2O1)OC)O,OYGWMFMSZPRSPD-GFCCVEGCSA-N,C15H17NO3,259.30,2.5,51.6,1,4,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F088""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C029,Isopulegol,"[""Isopulegol (purchased)""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",isopulegol,[170833],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/isopulegol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/170833,,,,C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C,CC1CCC(C(C1)O)C(=C)C,ZYTMANIQRDEHIO-KXUCPTDWSA-N,C10H18O,154.25,3,20.2,1,1,2,1,"[""melo2020""]","[""Myrcia lundiana""]","[""Leaves for oils; purchased compound comparators""]","[""F090"", ""F100""]","[{""source_id"": ""melo2020"", ""locator"": ""PDF 5,8–9 / printed 17307,17310–17311; Figs 2–3"", ""url"": ""https://doi.org/10.1007/s11356-020-08170-z"", ""pdf"": ""../sources/melo2020.pdf""}]"
C030,Citral (isomer composition unspecified),"[""Citral (purchased)""]",isomer_unspecified_material,Terpenoid / terpene derivative,isomer_composition_unresolved,PubChem query resolves an E-isomer representation (CID 638011); paper gives no reagent isomer ratio. Candidate is not the identity of the entire tested material.,citral,[638011],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/citral/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/638011,,,,CC(=CCC/C(=C/C=O)/C)C,CC(=CCCC(=CC=O)C)C,WTEVQBCEXWBHNA-JXMROGBWSA-N,C10H16O,152.23,3,17.1,0,1,3,1,"[""melo2020""]","[""Myrcia lundiana""]","[""Leaves for oils; purchased compound comparators"", ""Purchased reagent comparator""]","[""F092"", ""F102"", ""F109""]","[{""source_id"": ""melo2020"", ""locator"": ""PDF 5,8–9 / printed 17307,17310–17311; Figs 2–3"", ""url"": ""https://doi.org/10.1007/s11356-020-08170-z"", ""pdf"": ""../sources/melo2020.pdf""}]"
C032,Sulcatyl acetate,"[""Sulcatyl acetate""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",6-methylhept-5-en-2-yl acetate,[87947],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/6-methylhept-5-en-2-yl%20acetate/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/87947,,,,CC(CCC=C(C)C)OC(=O)C,CC(CCC=C(C)C)OC(=O)C,ZAKWGQOSOHQPJA-UHFFFAOYSA-N,C10H18O2,170.25,2.9,26.3,0,2,2,1,"[""melo2020""]","[""Aristolochia trilobata study""]","[""Synthesized comparator""]","[""F095"", ""F105""]","[{""source_id"": ""melo2020"", ""locator"": ""PDF 5,8–9 / printed 17307,17310–17311; Figs 2–3"", ""url"": ""https://doi.org/10.1007/s11356-020-08170-z"", ""pdf"": ""../sources/melo2020.pdf""}]"
C033,Limonene,"[""Limonene""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Limonene,[22311],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Limonene/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/22311,,,,CC1=CCC(CC1)C(=C)C,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,C10H16,136.23,3.4,0,0,0,2,1,"[""melo2020""]","[""Aristolochia trilobata study""]","[""Purchased reagent""]","[""F096"", ""F106""]","[{""source_id"": ""melo2020"", ""locator"": ""PDF 5,8–9 / printed 17307,17310–17311; Figs 2–3"", ""url"": ""https://doi.org/10.1007/s11356-020-08170-z"", ""pdf"": ""../sources/melo2020.pdf""}]"
