compound_id,preferred_name,source_names,material_scope,chemical_family,identity_status,identity_note,pubchem_query,pubchem_candidate_cids,pubchem_query_url,pubchem_candidate_url,exact_pubchem_cid,exact_inchikey,exact_smiles,candidate_smiles,candidate_connectivity_smiles,candidate_inchikey,candidate_molecular_formula,candidate_molecular_weight,candidate_xlogp,candidate_tpsa,candidate_hbond_donors,candidate_hbond_acceptors,record_count,source_count,source_ids,source_plants,source_organs,record_ids,source_locators
C011,Lignan 6,"[""Lignan 6""]",natural_product_compound_concept,Lignan,source_code_unresolved,Identity is source-local Figure 1 code; manual structure transcription and independent check required.,,[],,,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sebifera""]","[""Leaves""]","[""F019""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C012,Epigalgravin,"[""Epigalgravin""]",natural_product_compound_concept,Lignan,database_unresolved,Name query did not resolve; preserve source identity without guessing an analogue.,Epigalgravin,[],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Epigalgravin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sp.""]","[""Leaves""]","[""F020""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C013,Lignan 8,"[""Lignan 8""]",natural_product_compound_concept,Lignan,source_code_unresolved,Identity is source-local Figure 1 code; manual structure transcription and independent check required.,,[],,,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sp.""]","[""Leaves""]","[""F021""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C014,Ricinine,"[""Ricinine""]",natural_product_compound_concept,Pyridone alkaloid,achiral_identity_resolved,Source chemical name/structure is consistent with PubChem connectivity; reagent purity and physical form are not established by this mapping.,Ricinine,[10666],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ricinine/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/10666,10666,PETSAYFQSGAEQY-UHFFFAOYSA-N,CN1C=CC(=C(C1=O)C#N)OC,CN1C=CC(=C(C1=O)C#N)OC,CN1C=CC(=C(C1=O)C#N)OC,PETSAYFQSGAEQY-UHFFFAOYSA-N,C8H8N2O2,164.16,0,53.3,0,3,1,1,"[""bigi2004""]","[""Ricinus communis""]","[""Leaves; isolated from methanol fraction of DCM extract""]","[""F040""]","[{""source_id"": ""bigi2004"", ""locator"": ""PDF 3–4 / printed 935–936; Tables 1–3 and results prose"", ""url"": ""https://doi.org/10.1002/ps.892"", ""pdf"": ""../sources/bigi2004.pdf""}]"
C015,Squalene,"[""Squalene""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Squalene,[638072],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Squalene/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/638072,,,,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C30H50,410.7,11.6,0,0,0,1,1,"[""lobo2020papaya""]","[""Carica papaya (quercetin reagent not isolated from this sample)""]","[""Leaves; commercial quercetin comparator where indicated""]","[""F073""]","[{""source_id"": ""lobo2020papaya"", ""locator"": ""PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3"", ""url"": ""https://doi.org/10.1080/09670874.2019.1610812"", ""pdf"": ""../sources/lobo2020papaya.pdf""}]"
C016,Carpaine,"[""Carpaine""]",natural_product_compound_concept,Macrocyclic alkaloid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Carpaine,[442630],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Carpaine/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/442630,,,,C[C@H]1[C@@H]2CC[C@H](N1)CCCCCCCC(=O)O[C@H]3CC[C@@H](CCCCCCCC(=O)O2)N[C@H]3C,CC1C2CCC(N1)CCCCCCCC(=O)OC3CCC(CCCCCCCC(=O)O2)NC3C,AMSCMASJCYVAIF-QCVMBYIASA-N,C28H50N2O4,478.7,6.3,76.7,2,6,1,1,"[""lobo2020papaya""]","[""Carica papaya (quercetin reagent not isolated from this sample)""]","[""Leaves; commercial quercetin comparator where indicated""]","[""F074""]","[{""source_id"": ""lobo2020papaya"", ""locator"": ""PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3"", ""url"": ""https://doi.org/10.1080/09670874.2019.1610812"", ""pdf"": ""../sources/lobo2020papaya.pdf""}]"
C017,Quercetin,"[""Quercetin (commercial aglycone)""]",natural_product_compound_concept,Flavonoid,achiral_identity_resolved,Source chemical name/structure is consistent with PubChem connectivity; reagent purity and physical form are not established by this mapping.,quercetin,[5280343],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/quercetin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5280343,5280343,REFJWTPEDVJJIY-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.23,1.5,127,5,7,1,1,"[""lobo2020papaya""]","[""Carica papaya (quercetin reagent not isolated from this sample)""]","[""Leaves; commercial quercetin comparator where indicated""]","[""F076""]","[{""source_id"": ""lobo2020papaya"", ""locator"": ""PDF 5,8 / printed 205,208; sections3.1,3.3 and Fig 3"", ""url"": ""https://doi.org/10.1080/09670874.2019.1610812"", ""pdf"": ""../sources/lobo2020papaya.pdf""}]"
C018,Germanicol,"[""Germanicol""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Germanicol,[122857],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Germanicol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/122857,,,,C[C@@]12CC[C@@]3([C@@H](C1=CC(CC2)(C)C)CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C,CC1(CCC2(CCC3(C(C2=C1)CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C)C,QMUXVPRGNJLGRT-PNTWTTAKSA-N,C30H50O,426.7,9.4,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F078""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C019,β-Amyrin,"[""β-Amyrin""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",beta-amyrin,[73145],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-amyrin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/73145,,,,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,JFSHUTJDVKUMTJ-QHPUVITPSA-N,C30H50O,426.7,9.2,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F079""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C020,β-Sitosterol,"[""β-Sitosterol""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",beta-sitosterol,[222284],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-sitosterol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/222284,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,C29H50O,414.7,9.3,20.2,1,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F080""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C021,Stigmast-4-en-3-one,"[""Stigmast-4-en-3-one""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Stigmast-4-en-3-one,[5484202],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Stigmast-4-en-3-one/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5484202,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C,RUVUHIUYGJBLGI-XJZKHKOHSA-N,C29H48O,412.7,9.3,17.1,0,1,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F081""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C022,3β-Hydroxystigmast-5-en-7-one,"[""3β-Hydroxystigmast-5-en-7-one""]",natural_product_compound_concept,Steroid / triterpenoid,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",7-ketositosterol,[160608],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7-ketositosterol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/160608,,,,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2C(=O)C=C4C3(CCC(C4)O)C)C)C(C)C,ICFXJOAKQGDRCT-ZIHMWMKCSA-N,C29H48O2,428.7,8.3,37.3,1,2,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F082""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C023,Syringaresinol,"[""Syringaresinol""]",natural_product_compound_concept,Lignan,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Syringaresinol,[100067],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Syringaresinol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/100067,,,,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,KOWMJRJXZMEZLD-UHFFFAOYSA-N,C22H26O8,418.4,2.2,95.8,2,8,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F083""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C024,Syringaldehyde,"[""Syringaldehyde""]",natural_product_compound_concept,Phenolic aldehyde,achiral_identity_resolved,Source chemical name/structure is consistent with PubChem connectivity; reagent purity and physical form are not established by this mapping.,Syringaldehyde,[8655],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Syringaldehyde/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/8655,8655,KCDXJAYRVLXPFO-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C=O,COC1=CC(=CC(=C1O)OC)C=O,COC1=CC(=CC(=C1O)OC)C=O,KCDXJAYRVLXPFO-UHFFFAOYSA-N,C9H10O4,182.17,0,55.8,1,4,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F084""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
C025,Vanillic acid,"[""Vanillic acid""]",natural_product_compound_concept,Phenolic acid,achiral_identity_resolved,Source chemical name/structure is consistent with PubChem connectivity; reagent purity and physical form are not established by this mapping.,Vanillic acid,[8468],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Vanillic%20acid/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/8468,8468,WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O,COC1=C(C=CC(=C1)C(=O)O)O,COC1=C(C=CC(=C1)C(=O)O)O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,C8H8O4,168.15,1.4,66.8,2,4,1,1,"[""souza2005""]","[""Pilocarpus grandiflorus""]","[""Stems""]","[""F085""]","[{""source_id"": ""souza2005"", ""locator"": ""PDF 3 / printed 789; Table 3"", ""url"": ""https://doi.org/10.1515/znb-2005-0715"", ""pdf"": ""../sources/souza2005.pdf""}]"
